detailed_work_activity,impact,intermediate_work_activity,element
Examine records or other types of data to investigate criminal activities.,-0.11345978749307273,Investigate criminal or legal matters.,Getting Information
Exchange information with colleagues.,-0.17393900795717965,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Execute sales or other financial transactions.,-0.6686115326483733,Execute financial transactions.,Performing Administrative Activities
"Explain engineering drawings, specifications, or other technical information.",-0.10246518488946732,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
Explain financial information to customers.,0.05601543787419905,Explain financial information.,Interpreting the Meaning of Information for Others
Explain medical procedures or test results to patients or family members.,0.0024214458988036647,Explain medical information to patients or family members.,Interpreting the Meaning of Information for Others
Explain project details to the general public.,-0.0469627305703999,Provide information or assistance to the public.,Communicating with Persons Outside Organization
"Explain regulations, policies, or procedures.",-1.8514796430034761,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
Explain technical medical information to patients.,0.28872765147185797,Explain medical information to patients or family members.,Interpreting the Meaning of Information for Others
Explain technical product or service information to customers.,-0.1924956976147416,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
Explain use of products or services.,0.014689280256471982,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
Fabricate devices or components.,-0.035593183355294045,Fabricate devices or components.,Handling and Moving Objects
Fabricate medical devices.,0.35316715827333134,Fabricate medical devices.,Handling and Moving Objects
Fabricate parts or components.,-1.3595925192607847,Fabricate devices or components.,Handling and Moving Objects
Fabricate products or components using machine tools.,-0.016793667649628752,Fabricate devices or components.,Handling and Moving Objects
Feed materials or products into or through equipment.,2.2387133624530033,Position workpieces or materials on equipment.,Handling and Moving Objects
Feed patients.,-0.12839655023118324,Assist individuals with special needs.,Assisting and Caring for Others
File documents or records.,-0.5187522904223241,Perform administrative or clerical activities.,Performing Administrative Activities
"Fill cracks, imperfections, or holes in products or workpieces.",0.033529843557134065,Apply materials to fill gaps or imperfections.,Handling and Moving Objects
Finish concrete surfaces.,0.05322216148702141,Perform general construction or extraction activities.,Performing General Physical Activities
"Fit eyeglasses, contact lenses, or other vision aids.",0.0030343157647805263,Fit assistive devices to patients or clients.,Assisting and Caring for Others
Fit patients for assistive devices.,0.01011996340198662,Fit assistive devices to patients or clients.,Assisting and Caring for Others
Follow protocols or regulations for healthcare activities.,-0.007382259556209636,Follow standard healthcare safety procedures to protect patient and staff members.,Evaluating Information to Determine Compliance with Standards
Follow safety procedures for vehicle operation.,0.10826982983442024,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
"Forecast economic, political, or social trends.",0.03340557068817196,Analyze market or industry conditions.,Analyzing Data or Information
"Format digital documents, data, or images.",-0.019256508312445852,Process digital or online data.,Interacting With Computers
Gather customer or product information to determine customer needs.,0.22028890795695544,Collect data about consumer needs or opinions.,Getting Information
Gather financial records.,-0.05019843092744658,Gather information from physical or electronic sources.,Getting Information
Gather information about work conditions or locations.,0.05690137884817892,Gather data about operational or development activities.,Getting Information
Gather information for news stories.,-0.16091026680965204,Gather information for news stories.,Getting Information
Gather information in order to provide services to clients.,-0.06049968938955752,Gather information from physical or electronic sources.,Getting Information
Gather medical information from patient histories.,0.15856037890949537,Collect information about patients or clients.,Getting Information
Gather organizational performance information.,0.21992878968022112,Gather data about operational or development activities.,Getting Information
Gather physical survey data.,-0.11059459978271047,Gather data about operational or development activities.,Getting Information
Give medications or immunizations.,-0.16974222521855786,Administer basic health care or medical treatments.,Assisting and Caring for Others
"Greet customers, patrons, or visitors.",0.15303003683461824,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
Grind parts to required dimensions.,0.016530472956842512,Smooth surfaces of objects or equipment.,Handling and Moving Objects
Groom wigs or hairpieces.,0.08293862823997156,Groom or style hair.,Handling and Moving Objects
Guard facilities.,-0.0804346202830244,Maintain safety or security.,Performing General Physical Activities
Guide class discussions.,-0.16381168686905578,Teach academic or vocational subjects.,Training and Teaching Others
Guide patrons on tours.,0.023982098836026644,Escort others.,Performing General Physical Activities
Handle caskets.,0.04759874212263382,"Move materials, equipment, or supplies.",Performing General Physical Activities
Handle luggage or other possessions for patrons.,0.03351587038675019,"Move materials, equipment, or supplies.",Performing General Physical Activities
Harvest agricultural products.,0.07175786303886067,Perform agricultural activities.,Performing General Physical Activities
Heat material or workpieces to prepare for or complete production.,0.08022131622302053,Prepare industrial materials for processing or use.,Handling and Moving Objects
Help clients get needed services or resources.,-0.020287192173699342,Assist others to access additional services or resources.,Assisting and Caring for Others
Help patrons use library or archival resources.,-0.2604092767137667,"Provide general assistance to others, such as customers, patrons, or motorists.",Assisting and Caring for Others
"Hire farming, fishing or forestry workers.",0.18722382966524842,Perform recruiting or hiring activities.,Staffing Organizational Units
Hire personnel.,0.44905181443775755,Perform recruiting or hiring activities.,Staffing Organizational Units
Hold patients to ensure proper positioning or safety.,-0.01129569781124351,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Host events.,0.0019626730567008366,"Coordinate group, community, or public activities.","Guiding, Directing, and Motivating Subordinates"
Identify environmental concerns.,-0.0009414057803462939,Investigate the environmental impact of industrial or development activities.,Getting Information
Identify implications for cases from legal precedents or other legal information.,0.4058636005055951,"Research laws, precedents, or other legal data.",Analyzing Data or Information
Identify information technology project resource requirements.,-0.0036558995289142082,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
Identify investment opportunities or strategies.,0.08302203590929746,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify new applications for existing technologies.,-0.02392282838477655,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify opportunities for green initiatives.,0.01116695181842653,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify opportunities to improve operational efficiency.,0.02999474657376311,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify potential customers.,-0.040631210067962,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify strategic business investment opportunities.,0.027896635052826912,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Identify sustainable business practices.,0.01520605120084273,Identify business or organizational opportunities.,"Identifying Objects, Actions, and Events"
Ignite fuel to activate heating equipment.,-0.11819159773524124,Prepare industrial materials for processing or use.,Handling and Moving Objects
Immerse objects or workpieces in cleaning or coating solutions.,-0.38152285285882614,Prepare industrial materials for processing or use.,Handling and Moving Objects
Immunize patients.,0.07785791629535677,Administer basic health care or medical treatments.,Assisting and Caring for Others
Implement advanced life support techniques.,-0.0045722220202271124,Administer emergency medical treatment.,Assisting and Caring for Others
Implement advertising or marketing initiatives.,-0.024297257356344026,Implement procedures or processes.,Making Decisions and Solving Problems
Implement design or process improvements.,-0.13459097539870957,Implement procedures or processes.,Making Decisions and Solving Problems
Implement financial decisions.,0.4796903493047613,Implement procedures or processes.,Making Decisions and Solving Problems
Implement organizational process or policy changes.,-0.0998295909365794,Implement procedures or processes.,Making Decisions and Solving Problems
Implement security measures for computer or information systems.,-0.17504566136025002,Implement security measures for computer or information systems.,Interacting With Computers
Implement therapeutic programs to improve patient functioning.,0.02924661126240835,Administer therapeutic treatments.,Assisting and Caring for Others
Implement transportation changes to reduce environmental impact.,0.0018175497790733353,Implement procedures or processes.,Making Decisions and Solving Problems
Incorporate green features into the design of structures or facilities.,0.2976553870865368,Design structures or facilities.,Thinking Creatively
Inform individuals or organizations of status or findings.,-0.5143715139066503,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
Inform medical professionals regarding patient conditions and care.,0.016587658904728908,Confer with healthcare or other professionals about patient care.,"Communicating with Supervisors, Peers, or Subordinates"
Inform others about laws or regulations.,-0.17650126088697604,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
"Inform the public about policies, services or procedures.",0.11586467751285046,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
"Inform viewers, listeners, or audiences.",1.31121057197754,Provide information or assistance to the public.,Communicating with Persons Outside Organization
Inspect aircraft or aircraft components.,-0.05045034997165754,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
Inspect areas for compliance with sanitation standards.,0.14785905867403848,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect buildings or grounds to determine condition.,0.09107267194124358,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect cargo areas for cleanliness or condition.,0.012067248344219905,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect cargo to ensure it is properly loaded or secured.,0.06414918038021256,Monitor operations to ensure adequate performance.,"Monitor Processes, Materials, or Surroundings"
Inspect cargo to identify potential hazards.,-0.20003316221001421,Inspect characteristics or conditions of materials or products.,"Inspecting Equipment, Structures, or Material"
Inspect communications or broadcasting equipment.,0.01831812317450865,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect completed work to ensure proper functioning.,0.24210291166949593,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect completed work to ensure proper installation.,0.1263120453491875,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect condition of natural environments.,0.017222450160674363,Monitor environmental conditions.,"Monitor Processes, Materials, or Surroundings"
Inspect condition or functioning of facilities or equipment.,-0.01063390756065008,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect electrical or electronic systems for defects.,-0.1907323831851122,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment or facilities to determine condition or maintenance needs.,-0.6254960184098941,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment or systems.,0.05378876963832946,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment or tools to be used in construction or excavation.,0.0047121239865011155,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment to ensure proper functioning.,-0.008168312954322854,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment to ensure safety or proper functioning.,-0.14935329596865943,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect equipment to locate or identify electrical problems.,-0.0022555316812984394,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect facilities for cleanliness.,-0.05550792386458525,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect facilities or equipment to ensure specifications are met.,-0.062489825898778495,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect facilities or sites to determine if they meet specifications or standards.,0.5922936519477817,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect facilities to ensure compliance with fire regulations.,0.00043811054521958326,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
"Inspect facilities to ensure compliance with safety, quality, or service standards.",0.01200122257644054,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect facilities to ensure compliance with security or safety regulations.,-0.04007563763805244,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
"Inspect facilities, equipment or supplies to ensure conformance to standards.",-0.037533727177470944,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect facilities.,-0.026704223107453018,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect finished products to locate flaws.,-0.0016373012750974247,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect finishes of workpieces or finished products.,-0.09861984498751131,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect food products.,-0.8662453233559368,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
"Inspect garments for defects, damage, or stains.",0.07148429076347274,Inspect characteristics or conditions of materials or products.,"Inspecting Equipment, Structures, or Material"
Inspect gas systems or components to identify leaks or other potential hazards.,0.052769564027996374,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect industrial or commercial equipment to ensure proper operation.,-0.054686878629357505,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect installed components or assemblies.,-0.052044466400889,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect items for damage or defects.,-0.03096789361237029,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect landscaping to determine treatment needs.,0.030532086905580513,Monitor environmental conditions.,"Monitor Processes, Materials, or Surroundings"
Inspect locomotives or other railroad equipment.,0.08457185913202547,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
Inspect lumber or raw woodstock.,-0.007884298816583701,Inspect characteristics or conditions of materials or products.,"Inspecting Equipment, Structures, or Material"
Inspect material-moving equipment to detect problems.,-0.060987409903363154,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect materials or equipment to determine need for repair or replacement.,-0.2457147701811011,Inspect characteristics or conditions of materials or products.,"Inspecting Equipment, Structures, or Material"
Inspect mechanical components of vehicles to identify problems.,0.11934719635366342,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
"Inspect mechanical equipment to locate damage, defects, or wear.",0.23939303781738497,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect medical or dental assistive devices.,0.030868667022857288,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
"Inspect metal, plastic, or composite products.",0.5062452546834937,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect motor vehicles.,-0.36582548025757555,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
Inspect operational processes.,-0.15571186033034312,Monitor operations to ensure adequate performance.,"Monitor Processes, Materials, or Surroundings"
Inspect operations of green energy facilities.,0.0,Monitor operations to ensure adequate performance.,"Monitor Processes, Materials, or Surroundings"
Inspect plumbing systems or fixtures.,0.21601204906708382,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect production equipment.,-4.519369358717227,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect products or operations to ensure that standards are met.,-0.4520354309472836,Monitor operations to ensure compliance with regulations or standards.,"Monitor Processes, Materials, or Surroundings"
Inspect safety equipment to ensure proper functioning.,-0.007063906276163934,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect sets or exhibits.,0.10345036632390059,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect shipments to ensure correct order fulfillment.,0.1308714162984952,Inspect characteristics or conditions of materials or products.,"Inspecting Equipment, Structures, or Material"
Inspect structural components of vehicles to identify problems.,-0.13599572517398162,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
Inspect sustainable energy production facilities or equipment.,-0.039985654608248655,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect systems to determine if they are operating properly.,-0.06668014772822772,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect telecommunications equipment to identify problems.,-0.05570682832446083,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Inspect textile products.,0.6806069952986498,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect timing devices.,0.0,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspect vehicles to determine overall condition.,-0.001755312629193817,Inspect vehicles.,"Inspecting Equipment, Structures, or Material"
Inspect work environments to ensure safety.,0.27076541018125866,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect work sites to determine condition or necessary repairs.,0.2791280542495951,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect work sites to identify potential environmental or safety hazards.,0.055061874130940325,Inspect facilities or equipment.,"Inspecting Equipment, Structures, or Material"
Inspect work to ensure standards are met.,0.05333108550991561,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Inspected printed materials or other images to verify quality.,-0.3370869924191222,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Install audio or communications equipment.,0.047139080084677154,Install commercial or production equipment.,Handling and Moving Objects
Install building fixtures.,0.05518333824168131,Build structures.,Handling and Moving Objects
Install carpet or flooring.,0.026339695871420155,Build structures.,Handling and Moving Objects
Install computer hardware.,-0.08022890110499814,"Set up computer systems, networks, or other information systems.",Interacting With Computers
Install computer software.,-0.017571911359658188,"Set up computer systems, networks, or other information systems.",Interacting With Computers
Install doors or windows.,-0.01687887244450037,Build structures.,Handling and Moving Objects
Install drilling equipment.,-0.10182524236999813,Install commercial or production equipment.,Handling and Moving Objects
"Install electrical components, equipment, or systems.",0.22761503136833827,Install commercial or production equipment.,Handling and Moving Objects
"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment.",-0.15203180633656288,Install energy or heating equipment.,Handling and Moving Objects
Install equipment attachments or components.,-0.1626573198699668,Set up equipment.,Handling and Moving Objects
Install equipment to protect or support trees.,-0.04770966124139786,Build structures.,Handling and Moving Objects
Install fencing or other barriers.,-0.04440968142813606,Build structures.,Handling and Moving Objects
Install gauges or controls.,0.13584766935581305,Assemble equipment or components.,Handling and Moving Objects
Install green plumbing or water handling systems.,-0.2427352954754709,Install plumbing or piping equipment or systems.,Handling and Moving Objects
"Install green structural components, equipment or systems.",0.00949590742424844,Build structures.,Handling and Moving Objects
Install hardware or other interior fixtures.,-0.027448419778555166,Build structures.,Handling and Moving Objects
"Install heating, ventilation, or air conditioning (HVAC) equipment.",-0.017288080502316117,Install energy or heating equipment.,Handling and Moving Objects
Install home appliances.,-0.008687485693431807,Install commercial or production equipment.,Handling and Moving Objects
Install instrumentation or electronic equipment or systems.,-0.008318734245123416,Install commercial or production equipment.,Handling and Moving Objects
Install insulation in equipment or structures.,0.10083043771609468,Build structures.,Handling and Moving Objects
Install machine or equipment replacement parts.,-0.08689375614903172,Assemble equipment or components.,Handling and Moving Objects
Install masonry materials.,0.2806585232590195,Build structures.,Handling and Moving Objects
Install mechanical components in production equipment.,0.4868906985788173,Set up equipment.,Handling and Moving Objects
Install metal structural components.,0.13719315496409745,Build structures.,Handling and Moving Objects
Install metering equipment.,0.0,Install commercial or production equipment.,Handling and Moving Objects
"Install parts, assemblies, or attachments in transportation or material handling equipment.",-0.003292783407734312,Assemble equipment or components.,Handling and Moving Objects
Install piping for installation or maintenance activities.,-0.0018904905604655298,Install plumbing or piping equipment or systems.,Handling and Moving Objects
Install plumbing or piping.,0.027849448446155556,Install plumbing or piping equipment or systems.,Handling and Moving Objects
Install production equipment or systems.,0.001533253319148109,Install commercial or production equipment.,Handling and Moving Objects
Install programs onto computer or computer-controlled equipment.,-0.09951741625793664,"Set up computer systems, networks, or other information systems.",Interacting With Computers
Install roofing materials.,-0.05417349571897789,Build structures.,Handling and Moving Objects
Install safety or support equipment.,0.0,Build structures.,Handling and Moving Objects
Install solar energy systems.,0.01225782436650924,Install energy or heating equipment.,Handling and Moving Objects
Install structural foundations.,-0.1367110210000022,Build structures.,Handling and Moving Objects
Install trim or paneling.,-0.009169827722151247,Build structures.,Handling and Moving Objects
Install vehicle parts or accessories.,0.1803219388089281,Assemble equipment or components.,Handling and Moving Objects
Install wooden structural components.,0.09259557867525903,Build structures.,Handling and Moving Objects
Instruct college students in physical or life sciences.,0.051402812660187536,Teach academic or vocational subjects.,Training and Teaching Others
Instruct college students in social sciences or humanities disciplines.,0.4213068015665513,Teach academic or vocational subjects.,Training and Teaching Others
Instruct patients in the use of assistive equipment.,-0.13861958602249036,Train others to use equipment or products.,Training and Teaching Others
Instruct staff in work policies or procedures.,-0.15050706452850937,Train others on operational or work procedures.,Training and Teaching Others
Instruct workers to use equipment or perform technical procedures.,-0.03925612100454323,Train others to use equipment or products.,Training and Teaching Others
Interact with patients to build rapport or provide emotional support.,0.04977583592814083,Provide support or encouragement to others.,Coaching and Developing Others
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",-0.4340339999491136,Read documents or materials to inform work processes.,Getting Information
Interpret cultural or religious information for others.,-0.08891685044573627,"Interpret language, cultural, or religious information for others.",Interpreting the Meaning of Information for Others
Interpret design or operational test results.,0.0037514530000128943,Analyze performance of systems or equipment.,Analyzing Data or Information
Interpret financial information for others.,0.3625857798815839,Explain financial information.,Interpreting the Meaning of Information for Others
Interpret research or operational data.,0.988788564008567,Analyze data to improve operations.,Analyzing Data or Information
Intervene in crisis situations to assist clients.,-0.29139122325471467,Counsel others about personal matters.,Provide Consultation and Advice to Others
Interview claimants to get information related to legal proceedings.,0.07146881618671141,Interview people to obtain information.,Getting Information
Interview clients to gather financial information.,0.07089065103446224,Interview people to obtain information.,Getting Information
"Interview clients to gather information about their backgrounds, needs, or progress.",-0.1694247232812165,Interview people to obtain information.,Getting Information
"Interview employees, customers, or others to collect information.",0.9540266710486822,Interview people to obtain information.,Getting Information
Interview others for news or entertainment purposes.,-0.03335481097462445,Interview people to obtain information.,Getting Information
Interview patients to gather medical information.,-0.05200323073788926,Interview people to obtain information.,Getting Information
Interview people to gather information about criminal activities.,-0.007993364375685541,Interview people to obtain information.,Getting Information
Interview people to obtain information about actions or status of individuals.,-0.014713942461876961,Interview people to obtain information.,Getting Information
"Interview witnesses, suspects, or claimants.",0.12667900771740692,Interview people to obtain information.,Getting Information
Inventory materials or equipment.,-0.2159542776525205,Monitor resources or inventories.,Monitoring and Controlling Resources
Inventory medical supplies or equipment.,-0.11443550713045836,Monitor resources or inventories.,Monitoring and Controlling Resources
Investigate accidents to determine causes.,0.027800724493438178,Investigate incidents or accidents.,Getting Information
Investigate crimes committed within organizations.,0.09201277814271114,Investigate criminal or legal matters.,Getting Information
Investigate illegal or suspicious activities.,0.08308002324283681,Investigate criminal or legal matters.,Getting Information
Investigate industrial or transportation accidents.,0.056275479031669295,Investigate incidents or accidents.,Getting Information
Investigate legal issues.,0.06041988121020969,Investigate criminal or legal matters.,Getting Information
Investigate personal characteristics or activities of individuals.,-0.027829839530354672,"Investigate individuals' background, behavior, or activities.",Getting Information
Investigate safety of work environment.,0.02384367035095547,Investigate organizational or operational problems.,Getting Information
"Investigate system, equipment, or product failures.",-0.002126602832430713,Investigate organizational or operational problems.,Getting Information
Investigate the environmental impact of projects.,-0.06337732283227338,Investigate the environmental impact of industrial or development activities.,Getting Information
"Investigate transportation incidents, violations, or complaints.",0.03675922786838193,Investigate incidents or accidents.,Getting Information
Investigate work related complaints to determine corrective actions.,-0.12853825440204236,Investigate organizational or operational problems.,Getting Information
"Irrigate lawns, trees, or plants.",0.05793144835114017,Perform agricultural activities.,Performing General Physical Activities
Issue certificates or licenses.,-0.045362435198402995,Issue documentation.,Performing Administrative Activities
Issue documentation or identification to customers or employees.,-0.04682036817710733,Issue documentation.,Performing Administrative Activities
"Issue money, credit, or vouchers.",-0.04481140529915972,Execute financial transactions.,Performing Administrative Activities
Issue permits or other legal documents.,0.03710445317716227,Issue documentation.,Performing Administrative Activities
Issue warnings or citations.,0.029102074600140693,Issue documentation.,Performing Administrative Activities
Label production materials.,0.0023798753268975403,Mark materials or objects for identification.,"Identifying Objects, Actions, and Events"
Lay cables to connect equipment.,-0.4016601060146563,Connect components or supply lines to equipment or tools.,Handling and Moving Objects
Lay out parts to prepare for assembly.,-0.04134568407597383,Position materials or components for assembly.,Handling and Moving Objects
Lay out work according to specifications.,0.04477155436728353,Position materials or components for assembly.,Handling and Moving Objects
Lead classes or community events.,0.3760076225819837,Teach academic or vocational subjects.,Training and Teaching Others
Level machines or equipment.,0.04916806376991012,Position tools or equipment.,Handling and Moving Objects
Liaise between departments or other groups to improve function or communication.,0.804711210152449,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Lift materials or workpieces using cranes or other lifting equipment.,-0.3995498022180146,Operate lifting or moving equipment.,Controlling Machines and Processes
Load agricultural or forestry products for shipment.,-0.0740375974543035,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load digital images onto computers or websites.,-0.050786747622469264,Process digital or online data.,Interacting With Computers
Load items into ovens or furnaces.,-0.3333327198397731,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load materials into construction equipment.,-0.20060767024371362,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load materials into equipment for processing.,0.0059066271233452206,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load materials into production equipment.,0.9076415447289463,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load materials or equipment.,0.0018207941405585792,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Load or unload materials used in construction or extraction.,0.04399443465400665,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
"Load shipments, belongings, or materials.",-0.20657890947938684,"Load products, materials, or equipment for transportation or further processing.",Performing General Physical Activities
Locate animals for fishing or hunting purposes.,0.050642050110138115,Hunt animals.,Handling and Moving Objects
Locate equipment or materials in need of repair or replacement.,-0.03390995685925757,"Inspect commercial, industrial, or production systems or equipment.","Inspecting Equipment, Structures, or Material"
Locate fires or fire danger areas.,-0.02066172229135077,"Monitor safety or security of work areas, facilities, or properties.","Monitor Processes, Materials, or Surroundings"
Locate natural resources using geospatial or other environmental data.,-0.10947973753928464,Analyze environmental or geospatial data.,Analyzing Data or Information
Locate suspicious objects or vehicles.,0.02900650559564788,"Monitor safety or security of work areas, facilities, or properties.","Monitor Processes, Materials, or Surroundings"
Lubricate equipment to allow proper functioning.,0.10195637200639807,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Lubricate production equipment.,-0.22230415491366973,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain call records.,0.026566499654044673,Maintain operational records.,Documenting/Recording Information
Maintain clean work areas.,0.03852176348689884,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Maintain client information or service records.,-0.3724175201798583,Maintain operational records.,Documenting/Recording Information
Maintain client records.,0.006943951314184904,Maintain health or medical records.,Documenting/Recording Information
Maintain computer equipment or software.,-0.0034347513030255072,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain computer hardware.,-0.14114787773273996,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain computer networks to enhance performance and user access.,-0.11314685877746022,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain construction tools or equipment.,-0.008452367172101294,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain contingency plans for disaster recovery.,-0.03524665569452612,Develop contingency or emergency response plans.,Thinking Creatively
Maintain current knowledge related to work activities.,0.14810414415360862,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain data in information systems or databases.,0.001961015963475532,Maintain operational records.,Documenting/Recording Information
Maintain drilling equipment.,0.022381746314333206,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain electromechanical equipment.,0.0,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain electronic equipment.,0.22044417788665305,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain equipment or systems to ensure proper functioning.,-0.06247668364389947,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain extraction or excavation equipment.,-0.04187034562451242,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain facilities.,-0.03152815181557367,Maintain facilities or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain financial or account records.,-0.30136174927038306,Maintain sales or financial records.,Documenting/Recording Information
Maintain fire fighting tools or equipment.,-8.062406275488598e-06,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
"Maintain food, beverage, or equipment inventories.",-0.03640043010769256,"Replenish inventories of materials, equipment, or products.",Monitoring and Controlling Resources
